project_id,cost,votes,name,category,beneficiaries,selected,latitude,longitude,primary_category
649,1073500,925,"Twoje mieszkanie, twój czynsz, wspólne problemy","public space,culture,education","people with disabilities,seniors,adults,youth",0,,,public space
759,6065000,1519,"Ekologiczne i stylowe, energooszczędne przyjazne dla zwierząt oświetlenie w Parku Skaryszewskim oraz ławki w Parku Żeromskiego","public space,environmental protection","people with disabilities,seniors,adults,youth,children",0,52.255604866428,21.0232278032885,public space
544,778200,2758,BIG BROTHER WARSZAWA - nowe mobilne kamery monitoringu miejskiego dla każdej dzielnicy Warszawy.,public space,"people with disabilities,seniors,adults,youth,children",0,52.23094541746999,21.028262278634887,public space
1457,30000,2655,Rowerowa Warszawa - nowe stacje napraw dla rowerów,"sport,public space,public transit and roads","seniors,adults,youth,children",0,52.22105546044979,21.0226781370398,sport
1067,1437000,6137,Latarnie dla Warszawy,"urban greenery,public space,public transit and roads","people with disabilities,seniors,adults,youth,children",0,52.24263187364684,21.078302410751167,urban greenery
1492,25000,1354,Miejsce przyjazne osobom w spektrum autyzmu - poradnik,"welfare,education",people with disabilities,0,,,welfare
1641,6000000,7445,"Tysiące krzewów, bylin i roślin cebulowych dla Warszawy oraz pielęgnacja młodych nasadzeń","urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children",0,,,urban greenery
1820,123000,4243,Bujaj się nad Wisłą - Huśtawki,"urban greenery,sport,public space","people with disabilities,seniors,adults,youth,children",0,52.23363776621076,21.04252920502225,urban greenery
1279,25000,1012,Piknik medyczny,"sport,public space,welfare","people with disabilities,seniors,adults,youth,children",0,,,sport
468,9400,577,"Origami dla seniorów - usprawnianie motoryki małej i funkcji percepcyjnych (pamięci, koncentracji, myślenia przyczynowo-skutkowego)",education,"people with disabilities,seniors,adults",0,52.273612886429,20.9304708484305,education
1286,613500,421,Artystyczny Piknik Sąsiedzki,"public space,culture,education","people with disabilities,seniors,adults,youth,children",0,,,public space
1809,650500,6806,Roztęczamy Warszawę!,public space,"people with disabilities,seniors,adults,youth,children",0,52.21975961159,21.017974424362,public space
1276,136000,1555,Ławki dla wytchnienia wraz z udogodnieniami,"urban greenery,public space,welfare","people with disabilities,seniors,adults,youth,children",0,52.13291852217767,21.025502904447336,urban greenery
93,6060000,12576,Mikrolasy dla całej Warszawy,"urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children,animals",0,,,urban greenery
798,140000,387,Zawody w skokach narciarskich - skocznia K-5,sport,"seniors,adults,youth",0,52.232601069168496,21.0333589928915,sport
1131,100000,519,"Niegroźny nam wiatr, deszcz i śnieg- wykonanie osłon wejścia do przychodni przyszpitalnej przy Szpitalu Bielańskim",public space,"people with disabilities,seniors,adults,youth,children",0,52.287388145415,20.951234024389,public space
1142,150000,632,"Ocieplenie klimatu, a komfort oczekiwania pacjentów na wizytę u lekarza specjalisty- wykonanie klimatyzacji korytarzy, poczekalni i rejestracji w przychodni przyszpitalnej Szpitala Bielańskiego",public space,"people with disabilities,seniors,adults,youth,children",0,52.286699135041,20.951618476629,public space
