project_id,cost,votes,name,category,beneficiaries,selected,latitude,longitude,primary_category
825,4000000,23508,Wymiana sprzętu na Warszawskich SOR-ach i Izbach Przyjęć,welfare,"people with disabilities,seniors,adults,youth,children",1,,,welfare
1142,150000,632,"Ocieplenie klimatu, a komfort oczekiwania pacjentów na wizytę u lekarza specjalisty- wykonanie klimatyzacji korytarzy, poczekalni i rejestracji w przychodni przyszpitalnej Szpitala Bielańskiego",public space,"people with disabilities,seniors,adults,youth,children",0,52.286699135041,20.951618476629,public space
1115,150000,4993,Wygodne oczekiwanie na wizytę u lekarza specjalisty- zakup siedzisk dla pacjentów przychodni przyszpitalnej Szpitala Bielańskiego,public space,"people with disabilities,seniors,adults,youth,children",0,52.286773760941,20.951228141785,public space
1598,5800000,9023,Budowa zaległej infrastruktury rowerowej,"sport,public space,public transit and roads","seniors,adults,youth",0,52.268684557985,20.992422034713748,sport
1802,842840,12693,Poidełka dla Warszawy - BO warto!,"welfare,public space,environmental protection","people with disabilities,seniors,adults,youth,children",1,52.23271174580819,21.03092539170212,welfare
468,9400,577,"Origami dla seniorów - usprawnianie motoryki małej i funkcji percepcyjnych (pamięci, koncentracji, myślenia przyczynowo-skutkowego)",education,"people with disabilities,seniors,adults",0,52.273612886429,20.9304708484305,education
44,202000,10079,Warsztaty z udzielania pierwszej pomocy dla uczniów szkół podstawowych,"welfare,education","people with disabilities,seniors,adults,youth,children",1,,,welfare
1781,1000000,12530,"Sadźmy i zadbajmy o drzewa, krzewy, byliny i rośliny cebulowe dla Warszawy - bo warto","public transit and roads,urban greenery,public space","people with disabilities,seniors,adults,youth,children",1,,,public transit and roads
229,540000,2176,Poznaj kanały prawobrzeżnej Warszawy,"urban greenery,sport,public space","people with disabilities,seniors,adults,youth,children",0,,,urban greenery
643,290000,611,Akcja patriotyczno-historyczna na ekranach komunikacji miejskiej (monitory w autobusach komunikacji miejskiej),"culture,public transit and roads,education","people with disabilities,seniors,adults,youth,children",0,52.23221405614417,21.032231357545765,culture
953,5875000,27681,Asfaltowe drogi dla rowerów,"sport,public space,public transit and roads","seniors,adults,youth",1,52.217747194744994,21.0209857990388,sport
115,4062400,5648,"Remont i rozbudowa skateparków w dzielnicach Białołęka, Mokotów, Targówek i Wola","sport,public space","adults,youth,children",0,52.2696577815252,20.9998085340358,sport
446,191660,2125,Warszawskie biegi na orientację 2023 - Warsaw Orient Races 2023,"sport,education","people with disabilities,seniors,adults,youth,children",0,,,sport
1207,4135900,1034,Dostępne place zabaw: przebudowa 4 istniejących placów zabaw na place dostępne dla wszystkich i opracowanie „Poradnika do projektowania i realizacji”,"urban greenery,sport,public space","people with disabilities,seniors,adults,youth,children",0,52.226026205814,21.03944199523825,urban greenery
